topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1367232803071422464	http://twitter.com/user/status/1367232803071422464	Dear Moms: For the love of God and family, do NOT let anyone jab your babies with the experimental COVID-19 vaccines. https://t.co/0LIZf4drgq	harmful
COVID-19	1369770494703116296	http://twitter.com/user/status/1369770494703116296	Should all such evidence not be available, we demand that approval for use of the gene-based vaccines be withdrawn until all the above issues have been properly addressed by the exercise of due diligence by the EMA https://t.co/lgznoGXjBc	yes_calls_for_action
COVID-19	1364973838233194497	http://twitter.com/user/status/1364973838233194497	@NYGovCuomo- as you’ve noted- vaccine equity is critical. That’s why the entire Bronx Delegation- Federal, State and City- have all signed on to this letter requesting you assist us to immediately obtain more vaccines in our borough- the hardest hit in NYC by COVID-19. https://t.co/TubBRKLMsj	yes_calls_for_action
COVID-19	1369591200093732864	http://twitter.com/user/status/1369591200093732864	We have reached an agreement with BioNTech-Pfizer for the supply of four million more doses of COVID-19 vaccines for EU countries in the next two weeks. This will help tackle coronavirus hotspots and facilitate free border movement. #StrongerTogether	no_not_interesting
COVID-19	1367254708713369600	http://twitter.com/user/status/1367254708713369600	I really hope Nigerian officials will allocate the COVID-19 vaccine based on international standards. Medical Doctors, Nurses and other frontline workers, then, folks in their 80s, 70s and 60s. Don’t be unfortunate and share COVID-19 vaccines to family, friends and associates.	yes_calls_for_action
COVID-19	1370842636089765897	http://twitter.com/user/status/1370842636089765897	President Biden, under intense pressure to donate excess coronavirus vaccines to needy nations, moved to address the global shortage in another way — by partnering with Japan, India and Australia to expand global vaccine manufacturing capacity https://t.co/nyDxDEde8A	no_not_interesting
COVID-19	1370275496982941696	http://twitter.com/user/status/1370275496982941696	I see that #AstraZeneca paid a lot to #media but truth is that their vaccine as all COVID-19 #vaccines are unproved and may or may not prevent COVID-19. https://t.co/B7PGAyudn0 Evidence in my blog. Rest is propaganda loves. If someone says opposite he/she is paid to state it. https://t.co/tC5vZGYB7t	harmful
COVID-19	1364332661859373060	http://twitter.com/user/status/1364332661859373060	Denying poor countries the Covid vaccine to allow Pharma to profit from IP is cruel &amp; morally bankrupt. This should be a no-brainer. President Biden must grant the waiver so that millions around the world can develop the vaccine and save lives. https://t.co/VWjNEIvrT6	yes_calls_for_action
COVID-19	1368939079400886279	http://twitter.com/user/status/1368939079400886279	We must suspend the patent and Intelectual property rights on vaccines for covid 19 in order to save lives. We must put public health befor profit and call for a #PeoplesVaccine and #NoPatent	yes_calls_for_action
COVID-19	1357083474625257478	http://twitter.com/user/status/1357083474625257478	What we are asking for is simple. It's ethical. It's good public health. Distribute COVID vaccines equitably so that the highest risk people everywhere - health professionals and vulnerable people - are vaccinated immediately, to stop a catastrophic global wave of COVID-19. https://t.co/EQwewyoiJk	yes_calls_for_action
COVID-19	1369875983860297730	http://twitter.com/user/status/1369875983860297730	#COVID19 doesn't discriminate and so shouldn't our vaccine efforts. We're calling for coronavirus vaccines to be considered a global public good that is available &amp; affordable for everyone, everywhere. Full statement: https://t.co/VRKbqKJUTu #VaccinEquity https://t.co/tpy44mKDVW	yes_calls_for_action
COVID-19	1370471611925684225	http://twitter.com/user/status/1370471611925684225	More than 100 million Covid-19 vaccine doses have been administered in the U.S., the CDC said, as the inoculation drive gains pace in the U.S. and as new cases of Covid-19 have dropped in recent weeks https://t.co/kbJsis3NNE	no_not_interesting
COVID-19	1369126932802007040	http://twitter.com/user/status/1369126932802007040	“As more and more countries gain access to COVID-19 vaccines, the World Health Organisation says it's alarmed at the rapid loosening of restrictions taking place around the world.” There’s talk of loosening in B.C., even as variants surge. https://t.co/zTjc0faIVg	no_not_interesting
