topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1423282834987372553	http://twitter.com/user/status/1423282834987372553	İllerimizde 100.000 nüfusa karşılık gelen bir haftalık toplam vaka sayısını gösteren insidans haritasının güncel halini ekte görebilirsiniz. Aşı olma oranı yüksek olan illerimiz vaka artışlarından çok daha az etkileniyor. Aşınızı zaman kaybetmeden olun. https://t.co/mAuwbXYnK9	no_not_interesting
COVID-19	1428301747110522881	http://twitter.com/user/status/1428301747110522881	amerikadayız pandemi var diye cuma namazını açık havada kılıyolar kızın teki bana diyo ki wow yoga class	no_not_interesting
COVID-19	1443304873471221760	http://twitter.com/user/status/1443304873471221760	Öğrenim kredilerine bu pandemi döneminde bir Af gelmeyecek mi? Bu kadar genç kuşak şu anda mağdur durumunda. Özellikle işsizliğin %12 olan bir dönemde?	yes_asks_question
COVID-19	1421163651084562438	http://twitter.com/user/status/1421163651084562438	Tedbirli olmaz ve aşı olmazsak salgını durdurmak çok uzun sürebilir. Ödediğimiz bedelleri, kaybettiğimiz sevdiklerimizi düşünün ve aşınızı olun. https://t.co/RVlhe7786O https://t.co/9Vi5uOZTqJ	no_not_interesting
COVID-19	1432663824885239810	http://twitter.com/user/status/1432663824885239810	Aşı olanlar da hastalık kapıp bulaştırıyor; O halde neden sadece aşısızlara PCR şartı koşuluyor. O halde; komple herkesten istensin. Mantık? Aşışılar da bulaştırıyorsa o halde onlara da yaptırım gelsin.	yes_asks_question
COVID-19	1409385153739243529	http://twitter.com/user/status/1409385153739243529	BioNTech aşıları ile ilgili önemli bilgi: özellikle ikinci dozdan sonra sıklıkla gerçekleştiğini tespit ettiğimiz koltuk altı lenf bezi şişkinliği olursa lütfen endişe etmeyin! Bu konudaki yeni yayınlanan makalemiz ve hakkında Reuters’e verdiğim demeç. https://t.co/AJffCFLsnD	no_not_interesting
COVID-19	1409655459552718854	http://twitter.com/user/status/1409655459552718854	GELİN BİR İLKİ BAŞLATALIM; Aşı yaptırmayan herkese hakaret eden BİNGÜR SÖNMEZ’e manevi tazminat davası açılmalıdır. Pazartesi Avukatlarım aracılığıyla dava açacağım. Kazanılan parayı da hayır kurumlarına bağışlayacağım. @aveslemyordem	yes_calls_for_action
COVID-19	1410341391683686402	http://twitter.com/user/status/1410341391683686402	Hemşire arkadaşımız Uğur Demirel, Gaziantep-Şahinbey’de aşıların bir an önce tamamlanması için çalışıyor. Covid-19 yoğun bakım biriminde görevli meslektaşı Sare Hanımla nişanlı, Temmuza düğün tarihi aldılar: Düğünden önce, aşı salgına karşı üstünlük kazanmalı. https://t.co/3XvAh9Hrtx	no_not_interesting
COVID-19	1420914769549217795	http://twitter.com/user/status/1420914769549217795	ŞIRNAK, çok yüksek riskli il (Kırmızı) kategorisinden yüksek riskli il (Turuncu) kategorisine geçti. Hedefimiz, daha yüksek aşı oranıyla “düşük risk” grubu!	no_not_interesting
COVID-19	1427716618201845760	http://twitter.com/user/status/1427716618201845760	Corona aşısını bulan iki Türk bilim insanı ile övünüyoruz. Bu başarının arkasında aşı araştırmalarına 750 milyon € ayıran Alman Devleti olduğunu unutmayalım. Ülke olarak servetimizi betona değil bilime gömseydik şimdi Alman veya Çin aşısı yerine Milli Aşımızı konuşuyorduk.	no_not_interesting
COVID-19	1420339034036097027	http://twitter.com/user/status/1420339034036097027	Sevcan Orhan: Aşılar uygulanmaya başladığından beri hastaneye yatış ve can kaybı oranı ne kadar azaldı farkında mısınız? Herkes aşı olduğunda bizi çok daha güzel günler karşılayacak. Lütfen, siz de aşınızı olun. https://t.co/xUKjBLpNsX	no_not_interesting
COVID-19	1420010953412907010	http://twitter.com/user/status/1420010953412907010	🇹🇷Sağlık Bakanlığı, vakaların özelliklerini, aşılı ve aşısız test pozitiflerin istatistiklerini, aşı sonrası takiplere ait tüm verileri detaylı şekilde vermelidir. Aşı tereddütünün önüne sadece dünya değil, Türkiye verileriyle geçmeliyiz…	yes_calls_for_action
COVID-19	1442504516235059201	http://twitter.com/user/status/1442504516235059201	Arkadaşlar güncel bildiriyorum dilekçeyi görünce yarından itibaren testsiz aşısız giremezsin diyenler bugün anayasaya sizi koruyor dedi. Girebilirsiniz dendi. Dilekçemi verdim. Ne aşı ne test olmadan okuluma girebiliyorum!!	no_not_interesting
COVID-19	1408718112694837258	http://twitter.com/user/status/1408718112694837258	Aşı olduktan sonra ölen insanlar var. Ama aşı olmadıktan sonra ölen insanlar da var. Ölenlerin ölüm sebepleri dikkatle incelenmeden bir sonuca varılmaz. Şu an tüm dünyada görünen gerçek, aşı sayesinde Covid-19'den ölümler çok çok azaldı.	no_not_interesting
