,tweet_id,q1_label,q2_label,q3_label,q4_label,q5_label,q6_label,q7_label,tweet_content
0,1359350943356174336,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,2_no_probably_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,unusable tweet found
1,1350165688061669120,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
2,1369749539154919424,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
3,1350164995686936320,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
4,1370008076489789440,yes,1_no_definitely_contains_no_false_info,4_yes_probably_of_interest,2_no_probably_not_harmful,no_no_need_to_check,no_not_harmful,no_not_interesting,"As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their #COVID-19 vaccines at King Faisal Hospital. https://t.co/OylatTad9W"
5,1367726730044207104,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,"Pleased to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳this morning. Govt of Rwanda 🇷🇼 is grateful to the Govt of India 🇮🇳 and other partner countries for their valuable contribution to the fight against #COVID19 @DrSJaishankar"
6,1365684673205083904,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
7,1369888483414712320,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_no_need_to_check,no_not_harmful,no_not_interesting,unusable tweet found
8,1370003879455297536,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
9,1354166371526041600,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
10,1357381185505288192,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
11,1367232803071422464,no,,,,,yes_rumor_conspiracy,yes_classified_as_in_question_6,"Dear Moms: For the love of God and family, do NOT let anyone jab your babies with the experimental COVID-19 vaccines. https://t.co/0LIZf4drgq"
12,1368585187500691456,yes,3_not_sure,4_yes_probably_of_interest,4_yes_probably_harmful,yes_not_urgent,yes_rumor_conspiracy,yes_classified_as_in_question_6,unusable tweet found
13,1368249497734713088,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,unusable tweet found
14,1367921612780081152,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
15,1355801491190279936,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
16,1366637116097060864,no,,,,,no_joke_or_sarcasm,no_not_interesting,unusable tweet found
17,1365324501475594240,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,unusable tweet found
18,1366814345443872768,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
19,1369771518239072256,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
20,1350907284575043584,yes,3_not_sure,5_yes_definitely_of_interest,4_yes_probably_harmful,yes_not_urgent,yes_rumor_conspiracy,yes_classified_as_in_question_6,"Those who falsely claim Vaccines are 100% safe and who laugh at anti-vaxxers will be dependent on those who refuse to tell the official lies to say that wide-spread vaccination *is* critical.

23 die in Norway after receiving COVID-19 vaccine: https://t.co/eN10HwZvqW via @nypost"
21,1369770494703116288,no,,,,,no_not_harmful,yes_calls_for_action,unusable tweet found
22,1370453239309680640,yes,2_no_probably_contains_no_false_info,5_yes_definitely_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,"Additionally, beginning Monday, April 5, all Michiganders age 16+ who were not previously eligible will be eligible to receive a vaccine.

This is exciting news, and I urge all eligible Michiganders to get one of the three safe and effective COVID-19 vaccines."
23,1367517694279393280,yes,2_no_probably_contains_no_false_info,5_yes_definitely_of_interest,4_yes_probably_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,unusable tweet found
24,1367555102291148800,yes,2_no_probably_contains_no_false_info,5_yes_definitely_of_interest,2_no_probably_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,unusable tweet found
25,1365752431489912832,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
26,1365385808316944384,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,unusable tweet found
27,1367295604703993856,yes,2_no_probably_contains_no_false_info,5_yes_definitely_of_interest,2_no_probably_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,"All three vaccines authorized in the U.S. — made by Johnson &amp; Johnson, Moderna, and Pfizer and BioNTech — greatly reduce the risk of getting Covid-19.
They also have a high efficacy against more serious outcomes like hospitalization and death.

See more: https://t.co/N1it9ZKnQW"
28,1367586954502491904,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
29,1366074035348467712,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,"In simulations, “getting people vaccinated sooner with a lower efficacy vaccine prevented many more Covid-19 cases, hospitalizations and deaths compared to waiting even just a month for a higher efficacy vaccine.” https://t.co/uu3OXX8zVk"
30,1364402806992568320,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,"The Navajo Nation has surpassed its goal of administering 100,000 COVID-19 vaccines by the end of February, a figure that represents over half of its residents. Our work to increase supply, increase places to get vaccinated, and increase vaccinators is making a difference."
31,1360255266672021504,no,,,,,no_not_harmful,no_not_interesting,"As pharmacies and groceries across the U.S. prepare to dispense Covid-19 vaccines to the public, their customers and workers are wondering what happens to extra doses left unused at day’s end—and who might get access to one."
32,1364973838233194496,no,,,,,no_not_harmful,yes_calls_for_action,unusable tweet found
33,1369998582435229696,yes,2_no_probably_contains_no_false_info,5_yes_definitely_of_interest,2_no_probably_not_harmful,no_too_trivial_to_check,no_not_harmful,no_not_interesting,"CVS has nearly doubled the number of states where its pharmacies are offering Covid-19 vaccinations through Biden’s federal retail pharmacy program, CVS said in a statement. It is now offering Covid-19 vaccines in 29 states and Puerto Rico."
34,1367201792002576384,no,,,,,yes_xenophobic_racist_prejudices_or_hate_speech,no_not_interesting,unusable tweet found
35,1370174548411305984,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
36,1363024347066208256,no,,,,,no_not_harmful,no_not_interesting,"‘I want to drive out hesitancy and drive up vaccination among my patients.'

GP Dr @fhussain73 is phoning every patient from her surgery who has not yet accepted their #COVIDVaccine, as part of the NHS’s battle against vaccine hesitancy. 📷: @rankinphoto. https://t.co/OQbUrADDXh https://t.co/NghQDm0zgI"
37,1365057186334994432,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
38,1369375694451531520,no,,,,,no_not_harmful,no_not_interesting,unusable tweet found
39,1369512362873589504,yes,2_no_probably_contains_no_false_info,4_yes_probably_of_interest,1_no_definitely_not_harmful,no_no_need_to_check,no_not_harmful,no_not_interesting,unusable tweet found
